Station,District,Latitude,Longitude,timestamp,rainfall_mm
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-14 14:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-15 09:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-15 10:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-15 13:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-15 15:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-16 14:00:00,3.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-17 01:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-17 18:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-18 00:00:00,1.0
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-02-22 23:00:00,12.0
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-02-23 01:00:00,1.5
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-02-23 11:00:00,1.5
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-06 20:00:00,13.5
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-14 23:00:00,2.5
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-15 00:00:00,2.5
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-15 01:00:00,1.5
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-15 02:00:00,5.0
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-15 03:00:00,2.5
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-15 05:00:00,1.5
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-15 06:00:00,1.5
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-15 12:00:00,9.0
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-15 13:00:00,1.5
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-15 14:00:00,12.0
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-15 22:00:00,15.0
AWRMI Basistha Guwahati,Kamrup Metropolitan,26.111028,91.795097,2023-03-15 23:00:00,8.5
